"node","value","working_table","table5","verdict"
"IFNG",1,"(!FOXP3&!STAT3&NFAT&(TBX21|STAT4))","(!FOXP3&!STAT3&NFAT&(TBX21|STAT4))","identical"
"IFNGR",1,"(IFNG&!miR-155-5p)","(IFNG&!miR-155-5p)","identical"
"IL12R",1,"(IL12)","(IL12)","identical"
"IL17",1,"(NFAT&RORC&!FOXP3&NFKB&STAT3&!(STAT5|STAT1|STAT6))","(NFAT&RORC&!FOXP3&NFKB&STAT3&!(STAT5|STAT1|STAT6))","identical"
"IL1R",1,"(STAT3)","(STAT3)","identical"
"IL4R",2,"(CGC&IL4&STAT5)","(CGC&IL4&STAT5)","identical"
"IL6",1,"(NFAT&STAT3)","(NFAT&STAT3)","identical"
"IL9",1,"(SPI1-PU1)","(SPI1-PU1)","identical"
"IP3",1,"(ZAP70)","(ZAP70)","identical"
"LCK",1,"(TCR&CD45RA)","(TCR&CD45RA)","identical"
"MAPK14-p38",1,"(RAC1)","(RAC1)","identical"
"MAPK8-JNK",1,"(MAP4K1-MEKKK)","(MAP4K1-MEKKK)","identical"
"NFAT",1,"(Calcineurin)","(Calcineurin)","identical"
"NFKB",2,"(TNFR&!NFKBIE-IkB)","(TNFR&!NFKBIE-IkB)","identical"
"NFKBIE-IkB",1,"(!IKBKG)","(!IKBKG)","identical"
"PIP3",1,"(PI3K)","(PI3K)","identical"
"RAC1",1,"(ZAP70&!miR-155-5p)","(ZAP70&!miR-155-5p)","identical"
"SRF",1,"(MAPK14-p38)","(MAPK14-p38)","identical"
"STAT1",1,"(IFNGR&!miR-34c-5p)","(IFNGR&!miR-34c-5p)","identical"
"STAT4",1,"(IL12R&!GATA3)","(IL12R&!GATA3)","identical"
"STAT5",1,"(!IL2R:2&!IL4R:2&(IL4R:1|IL2R:1))","(!IL2R:2&!IL4R:2&(IL4R:1|IL2R:1))","identical"
"STAT5",2,"(IL2R:2|IL4R:2)","(IL2R:2|IL4R:2)","identical"
"STAT6",1,"(IL4R)","(IL4R)","identical"
"TCR",1,"(APC-Antigen&CD3&CD28&!IL2:2)","(APC-Antigen&CD3&CD28&!IL2:2)","identical"
"TNFR",1,"(TNF)","(TNF)","identical"
"TP53",1,"(!MDM2&!SIRT1)","(!MDM2&!SIRT1)","identical"
"TP53",2,"((MYC|TP53)&!MDM2&!SIRT1)","((MYC|TP53)&!MDM2&!SIRT1)","identical"
