"subset","working_table","table5","working_dir","table5_dir","agree"
"Th1",0.0163,0.0354,"flat","flat","yes"
"Th2",0,-0.2274,"flat","down","no"
"Th17",-0.333,-0.1024,"down","down","yes"
"iTreg",0.2722,0.1206,"up","up","yes"
"Tfh",-0.1997,-0.2335,"down","down","yes"
"Th22",-0.1603,-0.2439,"down","down","yes"
"Th9",0.2564,-0.2252,"up","down","no"
