"condition","node","step","level"
"IL2","APC-Antigen",187,1
"IL2","APC-Antigen",188,1
"IL2","APC-Antigen",189,1
"IL2","APC-Antigen",190,1
"IL2","APC-Antigen",191,1
"IL2","APC-Antigen",192,1
"IL2","APC-Antigen",193,1
"IL2","APC-Antigen",194,1
"IL2","APC-Antigen",195,1
"IL2","APC-Antigen",196,1
"IL2","APC-Antigen",197,1
"IL2","APC-Antigen",198,1
"IL2","APC-Antigen",199,1
"IL2","APC-Antigen",200,1
"IL2","TCR",0,1
"IL2","TCR",1,1
"IL2","TCR",2,1
"IL2","TCR",3,1
"IL2","TCR",4,1
"IL2","TCR",5,1
"IL2","TCR",6,1
"IL2","TCR",7,1
"IL2","TCR",8,1
"IL2","TCR",9,1
"IL2","TCR",10,1
"IL2","TCR",11,1
"IL2","TCR",12,1
"IL2","TCR",13,1
"IL2","TCR",14,1
"IL2","TCR",15,1
"IL2","TCR",16,1
"IL2","TCR",17,1
"IL2","TCR",18,1
"IL2","TCR",19,1
"IL2","TCR",20,1
"IL2","TCR",21,1
"IL2","TCR",22,1
"IL2","TCR",23,1
"IL2","TCR",24,1
"IL2","TCR",25,1
"IL2","TCR",26,1
"IL2","TCR",27,1
"IL2","TCR",28,1
"IL2","TCR",29,1
"IL2","TCR",30,1
"IL2","TCR",31,1
"IL2","TCR",32,1
"IL2","TCR",33,0.995
"IL2","TCR",34,0.995
"IL2","TCR",35,0.995
"IL2","TCR",36,0.995
"IL2","TCR",37,0.99
"IL2","TCR",38,0.99
"IL2","TCR",39,0.99
"IL2","TCR",40,0.99
"IL2","TCR",41,0.98
"IL2","TCR",42,0.975
"IL2","TCR",43,0.975
"IL2","TCR",44,0.955
"IL2","TCR",45,0.94
"IL2","TCR",46,0.93
"IL2","TCR",47,0.91
"IL2","TCR",48,0.9
"IL2","TCR",49,0.87
"IL2","TCR",50,0.855
"IL2","TCR",51,0.805
"IL2","TCR",52,0.765
"IL2","TCR",53,0.725
"IL2","TCR",54,0.705
"IL2","TCR",55,0.65
"IL2","TCR",56,0.62
"IL2","TCR",57,0.54
"IL2","TCR",58,0.46
"IL2","TCR",59,0.415
"IL2","TCR",60,0.38
"IL2","TCR",61,0.355
"IL2","TCR",62,0.315
"IL2","TCR",63,0.275
"IL2","TCR",64,0.245
"IL2","TCR",65,0.22
"IL2","TCR",66,0.175
"IL2","TCR",67,0.125
"IL2","TCR",68,0.13
"IL2","TCR",69,0.105
"IL2","TCR",70,0.095
"IL2","TCR",71,0.085
"IL2","TCR",72,0.085
"IL2","TCR",73,0.105
"IL2","TCR",74,0.105
"IL2","TCR",75,0.13
"IL2","TCR",76,0.14
"IL2","TCR",77,0.175
"IL2","TCR",78,0.22
"IL2","TCR",79,0.235
"IL2","TCR",80,0.275
"IL2","TCR",81,0.33
"IL2","TCR",82,0.39
"IL2","TCR",83,0.42
"IL2","TCR",84,0.485
"IL2","TCR",85,0.525
"IL2","TCR",86,0.595
"IL2","TCR",87,0.615
"IL2","TCR",88,0.665
"IL2","TCR",89,0.685
"IL2","TCR",90,0.73
"IL2","TCR",91,0.755
"IL2","TCR",92,0.78
"IL2","TCR",93,0.82
"IL2","TCR",94,0.845
"IL2","TCR",95,0.865
"IL2","TCR",96,0.875
"IL2","TCR",97,0.9
"IL2","TCR",98,0.92
"IL2","TCR",99,0.915
"IL2","TCR",100,0.935
"IL2","TCR",101,0.93
"IL2","TCR",102,0.935
"IL2","TCR",103,0.93
"IL2","TCR",104,0.93
"IL2","TCR",105,0.915
"IL2","TCR",106,0.89
"IL2","TCR",107,0.85
"IL2","TCR",108,0.835
"IL2","TCR",109,0.785
"IL2","TCR",110,0.755
"IL2","TCR",111,0.71
"IL2","TCR",112,0.675
"IL2","TCR",113,0.6
"IL2","TCR",114,0.58
"IL2","TCR",115,0.53
"IL2","TCR",116,0.5
"IL2","TCR",117,0.43
"IL2","TCR",118,0.4
"IL2","TCR",119,0.345
"IL2","TCR",120,0.33
"IL2","TCR",121,0.295
"IL2","TCR",122,0.265
"IL2","TCR",123,0.225
"IL2","TCR",124,0.2
"IL2","TCR",125,0.175
"IL2","TCR",126,0.175
"IL2","TCR",127,0.16
"IL2","TCR",128,0.165
"IL2","TCR",129,0.16
"IL2","TCR",130,0.16
"IL2","TCR",131,0.14
"IL2","TCR",132,0.155
"IL2","TCR",133,0.175
"IL2","TCR",134,0.175
"IL2","TCR",135,0.225
"IL2","TCR",136,0.255
"IL2","TCR",137,0.3
"IL2","TCR",138,0.345
"IL2","TCR",139,0.37
"IL2","TCR",140,0.44
"IL2","TCR",141,0.495
"IL2","TCR",142,0.535
"IL2","TCR",143,0.57
"IL2","TCR",144,0.62
"IL2","TCR",145,0.65
"IL2","TCR",146,0.685
"IL2","TCR",147,0.695
"IL2","TCR",148,0.74
"IL2","TCR",149,0.775
"IL2","TCR",150,0.79
"IL2","TCR",151,0.825
"IL2","TCR",152,0.845
"IL2","TCR",153,0.88
"IL2","TCR",154,0.885
"IL2","TCR",155,0.895
"IL2","TCR",156,0.905
"IL2","TCR",157,0.915
"IL2","TCR",158,0.93
"IL2","TCR",159,0.925
"IL2","TCR",160,0.915
"IL2","TCR",161,0.895
"IL2","TCR",162,0.875
"IL2","TCR",163,0.855
"IL2","TCR",164,0.82
"IL2","TCR",165,0.81
"IL2","TCR",166,0.785
"IL2","TCR",167,0.725
"IL2","TCR",168,0.705
"IL2","TCR",169,0.63
"IL2","TCR",170,0.615
"IL2","TCR",171,0.595
"IL2","TCR",172,0.56
"IL2","TCR",173,0.5
"IL2","TCR",174,0.45
"IL2","TCR",175,0.42
"IL2","TCR",176,0.395
"IL2","TCR",177,0.335
"IL2","TCR",178,0.325
"IL2","TCR",179,0.27
"IL2","TCR",180,0.255
"IL2","TCR",181,0.235
"IL2","TCR",182,0.205
"IL2","TCR",183,0.175
"IL2","TCR",184,0.185
"IL2","TCR",185,0.185
"IL2","TCR",186,0.18
"IL2","TCR",187,0.185
"IL2","TCR",188,0.21
"IL2","TCR",189,0.195
"IL2","TCR",190,0.205
